t,p_value,conf_low,conf_high
1.2218,0.2232,-0.1077,0.4587
0.9232,0.357,-0.1421,0.3922
3.3147,0.0011,0.1795,0.7066
1.3156,0.1898,-0.0967,0.4844
2.2895,0.0231,0.0463,0.6217
3.9899,1e-04,0.2983,0.8814
2.7294,0.0069,0.1038,0.6441
0.6272,0.5312,-0.1987,0.384
0.9646,0.3359,-0.1356,0.3952
2.6851,0.0079,0.1037,0.677
2.476,0.0141,0.0741,0.6542
1.9542,0.0521,-0.0025,0.5484
0.9437,0.3464,-0.1372,0.3891
3.4215,8e-04,0.184,0.6845
1.9769,0.0494,7e-04,0.5277
0.6975,0.4863,-0.1871,0.3919
1.9041,0.0583,-0.0093,0.5332
1.3743,0.1709,-0.0902,0.505
1.76,0.0799,-0.0309,0.5448
2.9288,0.0038,0.1343,0.6879
0.5693,0.5698,-0.1926,0.3489
3.116,0.0021,0.1613,0.7172
2.9351,0.0037,0.1337,0.6813
1.0475,0.2961,-0.1234,0.4031
1.5614,0.12,-0.0539,0.4641
2.5042,0.0131,0.0724,0.6089
2.6361,0.0091,0.0879,0.6101
0.5806,0.5621,-0.1921,0.3525
2.29,0.0231,0.0447,0.599
2.398,0.0174,0.0617,0.6334
3.8644,2e-04,0.2744,0.8462
3.3196,0.0011,0.1868,0.7333
2.3728,0.0186,0.0544,0.5895
1.1092,0.2687,-0.118,0.4212
2.6394,0.009,0.1023,0.7066
-0.0963,0.9234,-0.2744,0.2488
3.5771,4e-04,0.2537,0.877
1.7949,0.0742,-0.0248,0.5266
1.5708,0.1178,-0.0567,0.5006
1.1163,0.2656,-0.1335,0.4819
1.9907,0.0479,0.0029,0.6172
2.1438,0.0333,0.0226,0.542
1.906,0.0581,-0.0098,0.5745
2.6847,0.0079,0.1001,0.6538
1.4871,0.1386,-0.0708,0.505
5.0643,0,0.4202,0.9562
1.6701,0.0965,-0.0403,0.4863
1.7028,0.0902,-0.0363,0.4951
2.5501,0.0115,0.0846,0.6617
2.1051,0.0365,0.0181,0.5531
0.3595,0.7196,-0.239,0.3456
2.2144,0.0279,0.0357,0.6162
3.1577,0.0018,0.1728,0.7475
4.2345,0,0.308,0.845
2.1914,0.0296,0.0331,0.6284
1.8535,0.0653,-0.0174,0.5604
1.8693,0.0631,-0.0147,0.5503
-0.2752,0.7835,-0.3097,0.2339
1.2533,0.2116,-0.1065,0.4781
3.5011,6e-04,0.2014,0.7208
3.3419,0.001,0.1785,0.6924
1.7698,0.0783,-0.0265,0.4907
0.0682,0.9457,-0.2667,0.2858
3.9813,1e-04,0.2894,0.8574
3.5542,5e-04,0.2135,0.7457
3.4631,7e-04,0.2145,0.7818
1.2243,0.2223,-0.1107,0.4733
0.0728,0.942,-0.2862,0.3082
2.7623,0.0063,0.1016,0.6087
1.473,0.1423,-0.0707,0.4879
2.6764,0.0081,0.0954,0.6297
0.039,0.9689,-0.2752,0.2864
1.2847,0.2004,-0.0952,0.4508
3.5565,5e-04,0.2123,0.7408
3.2162,0.0015,0.1857,0.7744
3.8639,2e-04,0.2644,0.8157
1.2744,0.204,-0.095,0.4419
2.0022,0.0466,0.0042,0.5519
1.5773,0.1163,-0.0552,0.4965
3.537,5e-04,0.2339,0.8233
2.4346,0.0158,0.0659,0.628
0.4518,0.6519,-0.2136,0.3406
3.3844,9e-04,0.1862,0.706
2.0949,0.0375,0.0171,0.5649
1.1323,0.2589,-0.1264,0.4671
2.1779,0.0306,0.029,0.5837
3.0864,0.0023,0.1547,0.7023
3.6168,4e-04,0.2221,0.7546
2.8856,0.0043,0.1234,0.656
-0.9278,0.3546,-0.4169,0.1501
2.7486,0.0065,0.1043,0.6342
3.0174,0.0029,0.1301,0.621
2.8066,0.0055,0.1213,0.6946
0.976,0.3302,-0.1477,0.4372
0.8157,0.4157,-0.1688,0.4069
3.0033,0.003,0.1407,0.6785
2.6656,0.0083,0.0939,0.6276
0.9241,0.3566,-0.1497,0.4138
2.4584,0.0148,0.0686,0.625
1.3382,0.1824,-0.0897,0.4683
